adapter_id,acut_id,harness_name,model_or_agent_name,task_id,split,attempt,submission_status,terminal_status,verifier_exit_code,scoreable_cell,agent_failure,harness_error
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__009,B_eval,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__006,B_eval,1,submitted,verified_fail,1,True,True,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__009,B_eval,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__006,B_eval,1,submitted,verified_fail,1,True,True,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__010,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__032,B_eval,1,submitted,verified_fail,1,True,True,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__033,H_future,1,submitted,verified_fail,2,True,True,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__035,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__036,B_eval,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__039,H_future,1,submitted,verified_fail,1,True,True,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__041,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__045,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,attrs__hist__047,B_eval,1,submitted,verified_fail,1,True,True,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__010,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__032,B_eval,1,submitted,verified_fail,1,True,True,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__033,H_future,1,submitted,verified_fail,2,True,True,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__035,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__036,B_eval,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__039,H_future,1,submitted,verified_fail,1,True,True,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__041,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__045,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,attrs__hist__047,B_eval,1,submitted,verified_fail,1,True,True,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__007,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__013,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__014,B_eval,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__017,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__019,B_eval,1,submitted,verified_fail,1,True,True,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__007,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__013,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__014,B_eval,1,submitted,verified_fail,1,True,True,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__017,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__019,B_eval,1,submitted,verified_fail,1,True,True,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__020,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__024,B_eval,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__025,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__026,H_future,1,submitted,verified_pass,0,True,False,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__028,B_eval,1,submitted,verified_fail,1,True,True,False
codex_workspace,codex_workspace_gpt_5_4_mini,codex,gpt-5.4-mini,boltons__hist__031,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__020,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__024,B_eval,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__025,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__026,H_future,1,submitted,verified_pass,0,True,False,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__028,B_eval,1,submitted,verified_fail,1,True,True,False
kilo_workspace,kilo_workspace_gpt_5_4_mini,kilo,gpt-5.4-mini,boltons__hist__031,H_future,1,submitted,verified_pass,0,True,False,False
